Player_Name,Points
Jaylen Clark,-0.3333333333333333
Brandon Clarke,19.475
Jordan Clarkson,25.545454545454547
Nic Claxton,26.756756756756758
Donovan Clingan,19.322580645161292
Noah Clowney,17.14705882352941
Amir Coffey,17.51219512195122
Isaiah Collier,14.393939393939394
John Collins,35.888888888888886
Zach Collins,12.9375
Mike Conley,22.000000000000004
Pat Connaughton,11.380952380952381
Bilal Coulibaly,26.405405405405407
Ricky Council IV,10.76470588235294
Torrey Craig,13.555555555555557
Isaiah Crawford,1.6666666666666665
Cade Cunningham,47.205128205128204
Seth Curry,10.121212121212121
Stephen Curry,43.117647058823536
Pacôme Dadiet,3.7692307692307687
Dyson Daniels,36.684210526315795
Anthony Davis,53.32432432432432
Johnny Davis,6.571428571428571
JD Davison,0.20000000000000018
DeMar DeRozan,36.08108108108108
Donte DiVincenzo,24.25
Moussa Diabaté,15.28125
Gradey Dick,24.16216216216216
Ousmane Dieng,9.304347826086957
Rob Dillingham,8.666666666666666
Spencer Dinwiddie,21.24390243902439
Luka Dončić,55.22727272727273
Luguentz Dort,23.975609756097562
Ayo Dosunmu,28.878787878787875
Jeff Dowtin Jr.,9.842105263157896
PJ Dozier,2.4444444444444446
Andre Drummond,17.714285714285715
Chris Duarte,4.5625
Alex Ducas,2.4444444444444438
David Duke Jr.,4.0
Kris Dunn,19.57142857142857
Ryan Dunn,17.026315789473685
Kevin Durant,45.96875
Jalen Duren,29.3
Tari Eason,29.888888888888893
Zach Edey,22.655172413793103
Anthony Edwards,41.883720930232556
Justin Edwards,12.769230769230768
Kessler Edwards,0.2307692307692305
Keon Ellis,20.325000000000003
Joel Embiid,40.0
Drew Eubanks,15.8125
Tosan Evbuomwan,17.299999999999997
Bruno Fernando,10.0
Kyle Filipowski,15.354838709677418
Dorian Finney-Smith,23.5
Adam Flagler,1.2142857142857135
Trentyn Flowers,5.0
Simone Fontecchio,11.105263157894738
De'Aaron Fox,45.48717948717949
Enrique Freeman,3.5555555555555554
Johnny Furphy,5.178571428571428
Daniel Gafford,28.414634146341463
Darius Garland,40.170731707317074
Luka Garza,4.0
Keyonte George,28.29032258064516
Kyshawn George,18.305555555555557
Paul George,35.57142857142857
Taj Gibson,7.25
Josh Giddey,32.475
Shai Gilgeous-Alexander,58.92682926829268
Anthony Gill,3.8965517241379315
Collin Gillespie,4.0
Rudy Gobert,29.767441860465112
Aaron Gordon,25.181818181818176
Eric Gordon,12.548387096774194
Jazian Gortman,2.666666666666666
Jerami Grant,26.15625
AJ Green,15.763157894736842
Draymond Green,28.38235294117647
Jalen Green,31.738095238095234
Javonte Green,17.025641025641026
Jeff Green,7.538461538461538
Josh Green,16.216216216216214
Quentin Grimes,20.424999999999997
