full_name,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,gp_2014-2015,gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025
Jerami Grant,0.21183431952662723,0.2887502108281329,0.165,0.21719250114311842,0.34703125,0.3170005951200159,0.6320301783264746,0.6631960162969669,33.2,31.0,25.810810810810807,65.0,77.0,80.0,81.0,80.0,71.0,54.0,47.0,63.0,54.0,37.0
AJ Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Draymond Green,0.4371094375901299,0.5317786922725194,0.5238919667590027,0.539795918367347,0.49816345270890716,0.6819902650081126,0.563618039808516,0.7022684310018903,31.299999999999997,31.0,28.38235294117647,79.0,81.0,76.0,70.0,66.0,43.0,63.0,46.0,73.0,55.0,34.0
Jalen Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37424816217420365,30.100000000000005,30.900000000000006,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,76.0,82.0,48.0
Javonte Green,0.0,0.0,0.0,0.0,0.0,0.16710069444444442,0.2099940511600238,0.2951479289940829,14.5,29.7,17.227272727272727,0.0,0.0,0.0,0.0,0.0,48.0,41.0,65.0,32.0,9.0,44.0
Jeff Green,0.2975016436554898,0.2575,0.2049989498004621,0.23570019723865876,0.2880755608028336,0.3472222222222222,0.30968858131487886,0.23431111111111108,13.5,11.7,6.999999999999999,78.0,80.0,69.0,78.0,77.0,48.0,68.0,75.0,56.0,78.0,14.0
Josh Green,0.0,0.0,0.0,0.0,0.0,0.0,0.17225509533201838,0.17910447761194032,17.299999999999997,18.400000000000002,17.25581395348837,0.0,0.0,0.0,0.0,0.0,0.0,39.0,67.0,60.0,57.0,43.0
Quentin Grimes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27882797731569,22.5,13.2,20.02127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,71.0,102.0,47.0
Mouhamed Gueye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
Rui Hachimura,0.0,0.0,0.0,0.0,0.0,0.5013020833333334,0.4041243459526008,0.46541950113378683,18.833333333333332,24.5,25.674999999999997,0.0,0.0,0.0,0.0,0.0,48.0,57.0,42.0,126.0,68.0,40.0
Tyrese Haliburton,0.0,0.0,0.0,0.0,0.0,0.0,0.5523186682520809,0.5336481700118063,50.400000000000006,50.3,44.19565217391305,0.0,0.0,0.0,0.0,0.0,0.0,58.0,77.0,56.0,69.0,46.0
PJ Hall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Tim Hardaway Jr.,0.2279591836734694,0.22491349480968859,0.2909790097740747,0.49092028316405045,0.392189349112426,0.3427891291410434,0.35959183673469386,0.5731292517006801,23.7,21.8,17.0,70.0,51.0,79.0,57.0,65.0,71.0,70.0,42.0,71.0,79.0,45.0
James Harden,0.6009754610577656,0.600089232599643,0.6826703246456333,0.757908950617284,0.7641354372123603,0.8542387543252594,1.2381198347107434,0.7275739644970415,48.8,41.5,42.1304347826087,81.0,82.0,81.0,72.0,78.0,68.0,44.0,65.0,58.0,72.0,46.0
Jaden Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.700000000000001,11.8,12.435897435897436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,73.0,39.0
Elijah Harkless,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Ron Harper Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
Gary Harris,0.11305785123966941,0.30193905817174516,0.4927670052323792,0.4776119402985075,0.3899661434287473,0.37946428571428575,0.44049967126890194,0.3219564633163129,17.7,15.9,8.818181818181817,55.0,76.0,57.0,67.0,57.0,56.0,39.0,61.0,48.0,54.0,22.0
Kevon Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0
Tobias Harris,0.43295847750865046,0.37257617728531855,0.33566329565734687,0.40156250000000004,0.42831647828673414,0.49112654320987653,0.61420395421436,0.4537436667292175,30.099999999999994,34.7,28.212765957446805,68.0,76.0,82.0,80.0,82.0,72.0,62.0,73.0,74.0,70.0,47.0
Josh Hart,0.0,0.0,0.0,0.27815570672713524,0.2762307863666741,0.3550295857988166,0.5124490719782707,0.5960219478737998,29.133333333333333,27.200000000000003,41.229166666666664,0.0,0.0,0.0,63.0,67.0,65.0,47.0,54.0,152.0,81.0,48.0
Isaiah Hartenstein,0.0,0.0,0.0,0.0,0.22704081632653056,0.5614366729678639,0.31427221172022685,0.35034602076124566,17.9,28.600000000000005,37.1111111111111,0.0,0.0,0.0,0.0,28.0,23.0,46.0,68.0,82.0,75.0,27.0
Sam Hauser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,18.7,16.804878048780488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,79.0,41.0
Jordan Hawkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.200000000000001,17.064516129032256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,31.0
Jaxson Hayes,0.0,0.0,0.0,0.0,0.0,0.2646484375,0.27749999999999997,0.2789795918367347,10.799999999999999,11.299999999999999,15.730769230769232,0.0,0.0,0.0,0.0,0.0,64.0,60.0,70.0,47.0,70.0,26.0
Killian Hayes,0.0,0.0,0.0,0.0,0.0,0.0,0.6819526627218934,0.3138200183654729,26.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,66.0,76.0,42.0,0.0
