gp_2015-2016,gp_2016-2017,gp_2017-2018,gp_2018-2019,gp_2019-2020,gp_2020-2021,gp_2021-2022,gp_2022-2023,gp_2023-2024,gp_2024-2025,Age,Draft Year,full_name
34.0,39.0,82.0,61.0,67.0,69.0,65.0,61.0,76.0,28.0,32.0,2015,Pat Connaughton
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,45.0,20.0,2023,Bilal Coulibaly
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,41.0,23.0,Undrafted,Ricky Council IV
0.0,0.0,39.0,75.0,58.0,50.0,78.0,79.0,53.0,9.0,34.0,Undrafted,Torrey Craig
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.0,Undrafted,Isaiah Crawford
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,Jalen Crutcher
0.0,0.0,0.0,0.0,63.0,34.0,37.0,10.0,0.0,0.0,,,Jarrett Culver
0.0,0.0,0.0,0.0,0.0,0.0,64.0,12.0,62.0,46.0,23.0,2021,Cade Cunningham
44.0,70.0,0.0,74.0,64.0,57.0,64.0,61.0,88.0,40.0,34.0,Undrafted,Seth Curry
79.0,79.0,51.0,69.0,5.0,63.0,64.0,56.0,74.0,40.0,36.0,2009,Stephen Curry
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,2024,Pacôme Dadiet
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Caleb Daniels
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,61.0,45.0,21.0,2022,Dyson Daniels
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,N'Faly Dante
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,Nate Darling
61.0,75.0,75.0,56.0,62.0,36.0,40.0,56.0,76.0,42.0,31.0,2012,Anthony Davis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,50.0,33.0,22.0,2022,Johnny Davis
0.0,0.0,0.0,0.0,72.0,61.0,30.0,64.0,0.0,0.0,,,Terence Davis
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,22.0,2022,JD Davison
78.0,74.0,80.0,77.0,68.0,61.0,76.0,74.0,79.0,44.0,35.0,2009,DeMar DeRozan
0.0,0.0,0.0,27.0,66.0,66.0,42.0,72.0,81.0,40.0,28.0,2018,Donte DiVincenzo
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,23.0,2022,Moussa Diabaté
0.0,0.0,0.0,0.0,0.0,14.0,13.0,22.0,12.0,0.0,,,Mamadi Diakite
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,43.0,21.0,2023,Gradey Dick
