Player,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG,Predicted_FPPG,Predicted_FPPG_model2,Predicted_GP,Predicted_GP_model2,7_fppg,30_fppg
Bruce Brown,,2024-25,0,1610612761,TOR,28.0,18,0,19.61,3.17,7.28,0.44,0.61,2.0,0.31,1.44,1.61,0.9,0.94,2.83,3.78,1.56,0.94,0.17,1.06,1.44,8.39,17.11,17.16,20.02,29.0,100.0,20.67,14.5
Jaylen Brown,,2024-25,0,1610612738,BOS,28.0,51,51,35.12,8.59,18.47,0.46,1.94,5.94,0.33,4.06,5.35,0.76,1.47,4.55,6.02,4.75,1.2,0.29,2.71,2.55,23.18,38.59,38.86,40.55,39.0,55.0,39.67,36.33
Moses Brown,,2024-25,0,1610612754,IND,25.0,9,0,5.11,1.44,2.22,0.65,0.0,0.0,0.0,0.33,0.56,0.6,0.44,1.0,1.44,0.0,0.22,0.11,0.67,0.67,3.22,5.11,6.08,8.73,16.0,24.0,44.0,28.0
Jalen Brunson,,2024-25,0,1610612752,NYK,28.0,60,60,35.35,9.08,18.53,0.49,2.32,5.97,0.39,5.63,6.85,0.82,0.42,2.53,2.95,7.37,0.97,0.1,2.5,2.17,26.12,43.8,44.09,50.84,47.0,74.0,46.67,43.55
Thomas Bryant,,2024-25,0,1610612748,MIA,27.0,10,0,11.5,1.2,2.8,0.43,0.6,1.7,0.35,1.1,1.1,1.0,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,11.9,10.28,12.22,21.0,44.0,14.67,21.17
Alec Burks,,2024-25,0,1610612748,MIA,33.0,35,3,17.49,2.0,4.83,0.41,1.51,3.54,0.43,0.89,1.14,0.78,0.37,2.26,2.63,1.11,0.63,0.17,0.46,0.74,6.4,13.97,12.65,15.76,29.0,124.0,18.5,17.91
Jared Butler,,2024-25,0,1610612764,WAS,24.0,32,0,11.31,2.66,5.5,0.48,0.47,1.28,0.37,1.09,1.41,0.78,0.44,0.84,1.28,2.56,0.38,0.16,0.91,1.25,6.88,13.56,12.55,13.77,31.0,27.0,8.5,15.0
Jimmy Butler,,2024-25,0,1610612748,MIA,35.0,25,25,30.64,5.68,10.52,0.54,0.52,1.44,0.36,5.16,6.44,0.8,2.2,3.04,5.24,4.8,1.08,0.4,1.2,0.92,17.04,35.48,30.45,42.84,25.0,28.0,0.0,0.0
Kentavious Caldwell-Pope,,2024-25,0,1610612753,ORL,32.0,60,60,30.22,3.03,7.28,0.42,1.35,4.38,0.31,1.13,1.3,0.87,0.37,1.7,2.07,1.75,1.37,0.47,0.82,1.95,8.55,19.78,20.35,23.06,44.0,65.0,17.33,14.33
Clint Capela,,2024-25,0,1610612737,ATL,30.0,52,41,21.71,4.02,7.12,0.56,0.0,0.02,0.0,1.0,1.87,0.54,3.15,5.42,8.58,1.15,0.62,0.98,0.88,1.98,9.04,24.6,25.15,31.12,46.0,66.0,19.0,19.0
