Player_Name,PosPLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
Alex Len,,2024-25,00,1610612758,SAC,31.0,36,3,7.166666666666667,0.6111111111111112,1.1388888888888888,0.537,0.027777777777777776,0.16666666666666666,0.167,0.19444444444444445,0.3611111111111111,0.538,0.6944444444444444,1.0833333333333333,1.7777777777777777,0.8333333333333334,0.2222222222222222,0.5,0.3055555555555556,0.9722222222222222,1.4444444444444444
Kawhi Leonard,,2024-25,00,1610612746,LAC,33.0,26,26,30.03846153846154,7.6923076923076925,16.153846153846153,0.476,2.0,5.115384615384615,0.391,2.1923076923076925,2.8846153846153846,0.76,1.0,4.269230769230769,5.269230769230769,2.923076923076923,1.5384615384615385,0.46153846153846156,2.076923076923077,1.5384615384615385,19.576923076923077
Malevy Leons,,2024-25,00,1610612760,OKC,25.0,6,0,3.5,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.16666666666666666,0.6666666666666666,0.3333333333333333
Maxwell Lewis,,2024-25,00,1610612747,LAL,22.0,7,0,4.142857142857143,0.2857142857142857,0.8571428571428571,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714
E.J. Liddell,,2024-25,00,1610612741,CHI,24.0,7,0,4.714285714285714,0.7142857142857143,1.4285714285714286,0.5,0.42857142857142855,1.1428571428571428,0.375,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,1.1428571428571428,2.142857142857143
Damian Lillard,,2024-25,00,1610612749,MIL,34.0,58,58,36.08620689655172,7.655172413793103,17.103448275862068,0.448,3.396551724137931,9.03448275862069,0.376,6.241379310344827,6.775862068965517,0.921,0.5,4.189655172413793,4.689655172413793,7.068965517241379,1.206896551724138,0.1724137931034483,2.793103448275862,1.6724137931034482,24.948275862068964
Dereck Lively II,,2024-25,00,1610612742,DAL,21.0,32,25,24.0,3.875,5.53125,0.701,0.0,0.0,0.0,1.375,2.15625,0.638,3.09375,4.75,7.84375,2.625,0.53125,1.6875,1.21875,2.9375,9.125
Chris Livingston,,2024-25,00,1610612749,MIL,21.0,17,1,4.588235294117647,0.4117647058823529,1.1176470588235294,0.368,0.0,0.35294117647058826,0.0,0.4117647058823529,0.5882352941176471,0.7,0.47058823529411764,0.9411764705882353,1.411764705882353,0.11764705882352941,0.29411764705882354,0.0,0.29411764705882354,0.29411764705882354,1.2352941176470589
Kevon Looney,,2024-25,00,1610612744,GSW,29.0,64,6,15.3125,2.015625,3.90625,0.516,0.0,0.046875,0.0,0.734375,1.34375,0.547,2.609375,3.734375,6.34375,1.609375,0.640625,0.484375,0.578125,2.171875,4.765625
Brook Lopez,,2024-25,00,1610612749,MIL,36.0,68,68,31.735294117647058,4.6911764705882355,9.455882352941176,0.496,1.7647058823529411,4.764705882352941,0.37,1.4264705882352942,1.6764705882352942,0.851,1.3529411764705883,3.6323529411764706,4.985294117647059,1.6911764705882353,0.6617647058823529,1.8823529411764706,1.0147058823529411,2.176470588235294,12.573529411764707
Kevin Love,,2024-25,00,1610612748,MIA,36.0,22,9,11.181818181818182,1.8636363636363635,5.2272727272727275,0.357,1.0909090909090908,3.0454545454545454,0.358,0.7272727272727273,1.0454545454545454,0.696,1.0,3.272727272727273,4.2727272727272725,1.0,0.6818181818181818,0.18181818181818182,0.6363636363636364,0.9090909090909091,5.545454545454546
Kyle Lowry,,2024-25,00,1610612755,PHI,38.0,33,12,18.87878787878788,1.1818181818181819,3.3636363636363638,0.351,0.8484848484848485,2.515151515151515,0.337,0.8181818181818182,1.0,0.818,0.3333333333333333,1.6363636363636365,1.9696969696969697,2.8181818181818183,0.9393939393939394,0.30303030303030304,0.6060606060606061,1.8484848484848484,4.03030303030303
Trey Lyles,,2024-25,00,1610612758,SAC,29.0,57,2,18.54385964912281,2.245614035087719,5.368421052631579,0.418,1.1929824561403508,3.4210526315789473,0.349,0.8070175438596491,1.1228070175438596,0.719,1.087719298245614,3.473684210526316,4.56140350877193,1.1929824561403508,0.5789473684210527,0.3684210526315789,0.5789473684210527,1.2105263157894737,6.491228070175438
Sandro Mamukelashvili,,2024-25,00,1610612759,SAS,25.0,47,0,9.148936170212766,2.0425531914893615,3.7872340425531914,0.539,0.9574468085106383,2.234042553191489,0.429,0.5957446808510638,0.8085106382978723,0.737,0.8085106382978723,1.7659574468085106,2.574468085106383,0.6170212765957447,0.3829787234042553,0.2765957446808511,0.3191489361702128,0.851063829787234,5.638297872340425
