Player,TEAM_ABBREVIATION,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,GP,FPPG
Luke Kornet,BOS,11.7,1.6,2.5,0.0,0.2,0.5,0.6,1.2,1.6,2.9,0.8,0.2,0.7,0.4,3.8,69,11.7
Mac McClung,PHI,20.5,4.5,10.0,2.0,5.5,1.5,2.5,1.5,3.5,5.0,4.5,0.0,0.0,1.5,12.5,2,23.5
Malachi Flynn,TOR,13.0,1.6,4.6,0.9,2.5,0.5,0.6,0.3,1.2,1.4,1.3,0.4,0.1,0.5,4.6,53,9.0
Malaki Branham,SAS,23.5,4.1,9.3,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,10.2,66,16.599999999999998
Malcolm Brogdon,BOS,26.0,5.3,10.9,2.0,4.4,2.4,2.7,0.6,3.6,4.2,3.7,0.7,0.3,1.5,14.9,67,28.9
Malcolm Hill,CHI,1.8,0.4,0.8,0.2,0.6,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,1.0,5,1.8
Malik Beasley,TOT,25.5,4.466666666666666,11.366666666666667,2.8333333333333335,7.966666666666666,0.6,0.8000000000000002,0.39999999999999997,3.0666666666666664,3.466666666666667,1.4666666666666668,0.8000000000000002,0.06666666666666667,1.1333333333333335,12.4,162,20.2
Malik Monk,SAC,22.3,4.6,10.3,1.9,5.2,2.4,2.7,0.4,2.2,2.6,3.9,0.6,0.3,1.9,13.5,77,24.2
Mamadi Diakite,CLE,8.0,1.1,2.3,0.3,1.0,0.1,0.1,0.4,1.0,1.4,0.4,0.2,0.4,0.5,2.6,22,6.4
MarJon Beauchamp,MIL,13.5,1.8,4.7,0.9,2.7,0.5,0.7,0.7,1.5,2.2,0.7,0.4,0.1,0.9,5.1,52,8.5
Marcus Morris,LAC,28.1,4.2,9.9,1.7,4.7,1.0,1.3,0.4,3.5,4.0,1.8,0.6,0.3,0.9,11.2,65,20.5
Marcus Smart,BOS,32.1,4.1,9.9,1.9,5.6,1.4,1.9,0.8,2.4,3.1,6.3,1.5,0.4,2.3,11.5,61,29.9
Mark Williams,CHO,19.3,3.7,5.8,0.0,0.0,1.6,2.3,2.2,4.9,7.1,0.4,0.7,1.0,0.9,9.0,43,22.8
Markelle Fultz,ORL,29.6,5.8,11.3,0.5,1.5,1.9,2.4,1.2,2.8,3.9,5.7,1.5,0.4,2.3,14.0,60,32.6
Markieff Morris,TOT,9.833333333333334,1.4333333333333333,3.4666666666666663,0.8333333333333334,2.1999999999999997,0.2333333333333333,0.2333333333333333,0.3,1.6333333333333335,1.9000000000000001,0.8666666666666667,0.2333333333333333,0.10000000000000002,0.5,3.966666666666667,70,8.166666666666668
Marko Simonovic,CHI,2.9,0.3,1.0,0.1,0.6,0.1,0.3,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.9,7,0.7
Marvin Bagley III,DET,23.6,4.8,9.1,0.5,1.6,1.9,2.6,2.2,4.2,6.4,0.9,0.5,0.7,1.1,12.0,42,23.1
Mason Plumlee,TOT,24.8,3.9,5.666666666666667,0.0,0.0,2.4,3.6999999999999997,2.6666666666666665,5.8,8.5,2.8333333333333335,0.5666666666666667,0.5666666666666667,1.4666666666666668,10.166666666666666,158,26.766666666666666
Matisse Thybulle,TOT,18.9,1.7333333333333334,4.066666666666666,0.9,2.433333333333333,0.3333333333333333,0.43333333333333335,0.6333333333333333,1.6333333333333335,2.2666666666666666,0.8666666666666666,1.2666666666666666,0.5333333333333333,0.39999999999999997,4.733333333333333,142,15.333333333333332
Matt Ryan,TOT,9.366666666666667,1.2,3.3333333333333335,0.9666666666666667,2.533333333333333,0.3,0.3666666666666667,0.13333333333333333,0.7000000000000001,0.8333333333333334,0.43333333333333335,0.13333333333333333,0.0,0.2333333333333333,3.6333333333333333,68,5.366666666666666
Matthew Dellavedova,SAC,6.7,0.5,1.6,0.3,0.8,0.1,0.2,0.0,0.4,0.4,1.3,0.2,0.0,0.3,1.5,32,4.300000000000001
Max Christie,LAL,12.5,1.1,2.6,0.6,1.5,0.3,0.4,0.2,1.7,1.8,0.5,0.2,0.2,0.3,3.1,41,7.0
Max Strus,MIA,28.4,4.1,9.9,2.5,7.0,1.0,1.1,0.6,2.6,3.2,2.1,0.5,0.2,0.9,11.5,80,20.6
