Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Andre Jackson Jr.,MIL,45,17.38,1.58,3.38,0.56,1.44,0.2,0.36,1.11,2.18,3.29,1.47,0.6,0.27,1.07,3.91
Jaren Jackson Jr.,MEM,47,29.64,8.38,16.85,1.94,5.34,4.38,5.64,1.43,4.7,6.13,2.15,1.32,1.6,2.21,23.09
Trayce Jackson-Davis,GSW,46,19.5,3.43,6.04,0.0,0.02,1.13,1.87,2.35,3.85,6.2,2.11,0.46,0.74,0.85,8.0
Bronny James,LAL,15,3.87,0.2,1.53,0.0,0.6,0.33,0.33,0.07,0.4,0.47,0.4,0.2,0.13,0.27,0.73
LeBron James,LAL,44,34.68,9.32,18.18,2.09,5.52,3.3,4.3,0.89,6.68,7.57,9.07,0.82,0.52,3.82,24.02
Jaime Jaquez Jr.,MIA,42,23.38,3.38,7.67,0.62,2.05,1.93,2.6,1.24,3.5,4.74,2.67,1.17,0.17,1.55,9.31
DaQuan Jeffries,CHA,15,16.93,2.0,4.33,1.0,2.47,0.47,0.53,0.8,1.93,2.73,0.87,0.73,0.4,0.47,5.47
Trey Jemison,NOP,16,10.38,0.94,2.0,0.0,0.0,0.5,1.31,1.38,1.38,2.75,0.62,0.44,0.38,0.62,2.38
Daniss Jenkins,DET,3,2.67,0.0,1.33,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
Ty Jerome,CLE,46,18.96,4.17,8.09,1.5,3.48,1.5,1.7,0.72,1.63,2.35,3.43,1.22,0.02,1.2,11.35
Isaiah Joe,OKC,43,20.95,3.35,7.84,2.4,6.12,0.37,0.53,0.47,2.05,2.51,1.4,0.72,0.14,0.47,9.47
AJ Johnson,MIL,6,2.5,0.5,1.17,0.17,0.17,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.33,1.17
Cameron Johnson,BKN,35,32.31,6.46,13.14,3.2,7.63,3.29,3.66,0.71,3.34,4.06,2.94,0.8,0.49,1.71,19.4
Jalen Johnson,ATL,36,35.67,7.53,15.06,1.22,3.92,2.61,3.5,1.72,8.25,9.97,5.03,1.56,1.0,2.94,18.89
James Johnson,IND,9,3.11,0.44,0.89,0.0,0.22,0.0,0.11,0.0,0.44,0.44,0.33,0.0,0.22,0.44,0.89
Keldon Johnson,SAS,43,24.02,4.65,10.02,1.14,3.7,1.95,2.58,1.3,3.51,4.81,1.4,0.6,0.26,0.84,12.4
Keon Johnson,BKN,47,22.77,3.43,9.21,1.43,4.87,1.17,1.53,0.66,2.68,3.34,1.89,0.85,0.3,1.28,9.45
Keshad Johnson,MIA,10,5.7,0.7,1.2,0.1,0.4,0.1,0.6,0.2,1.5,1.7,0.3,0.1,0.4,0.3,1.6
Nikola Jokić,DEN,43,36.37,11.26,19.79,2.05,4.37,5.05,6.19,3.16,9.67,12.84,10.3,1.86,0.65,3.19,29.6
Colby Jones,SAC,23,5.3,0.48,1.09,0.17,0.39,0.0,0.0,0.26,0.61,0.87,0.22,0.22,0.26,0.3,1.13
Dillon Jones,OKC,28,8.61,0.79,2.32,0.25,1.32,0.29,0.5,0.64,1.21,1.86,0.79,0.18,0.11,0.36,2.11
Herbert Jones,NOP,20,32.4,3.75,8.6,1.1,3.6,1.65,2.0,1.1,2.8,3.9,3.25,1.85,0.45,1.75,10.25
Isaac Jones,SAC,23,8.35,1.52,2.26,0.04,0.17,0.52,1.0,0.48,1.0,1.48,0.22,0.13,0.35,0.48,3.61
Kai Jones,LAC,27,7.59,0.93,1.3,0.0,0.07,0.33,0.44,0.56,1.11,1.67,0.37,0.22,0.48,0.37,2.19
Mason Jones,SAC,4,5.0,0.5,1.25,0.0,0.75,0.25,0.5,0.25,1.5,1.75,2.25,0.0,0.0,0.25,1.25
Spencer Jones,DEN,5,2.6,0.2,0.8,0.0,0.6,0.0,0.0,0.0,0.6,0.6,0.0,0.4,0.0,0.2,0.4
Tre Jones,SAS,28,16.07,1.61,3.32,0.29,0.93,0.89,1.18,0.54,1.54,2.07,3.71,0.64,0.18,0.75,4.39
Tyus Jones,PHX,47,29.6,4.19,8.89,2.06,4.91,0.74,0.85,0.53,1.91,2.45,5.94,0.89,0.11,1.3,11.19
Derrick Jones Jr.,LAC,47,25.21,4.13,7.98,0.98,2.7,1.06,1.36,1.36,2.36,3.72,0.87,1.23,0.4,0.94,10.3
DeAndre Jordan,DEN,34,11.71,1.56,2.41,0.0,0.0,0.35,0.85,1.29,3.24,4.53,0.79,0.29,0.47,0.71,3.47
Cory Joseph,ORL,29,7.59,0.72,2.03,0.48,1.38,0.07,0.14,0.21,0.59,0.79,0.83,0.38,0.1,0.38,2.0
Nikola Jović,MIA,38,24.24,3.61,8.03,1.63,4.39,1.74,2.05,0.63,3.39,4.03,2.84,0.89,0.29,1.21,10.58
Johnny Juzang,UTA,32,17.84,2.47,5.91,1.69,4.22,0.69,0.78,0.59,2.16,2.75,1.03,0.38,0.16,0.5,7.31
Yuki Kawamura,MEM,17,3.29,0.47,1.24,0.24,0.88,0.24,0.35,0.0,0.35,0.35,0.71,0.06,0.0,0.24,1.41
Kylor Kelley,DAL,3,16.67,2.33,3.0,0.0,0.0,1.0,1.33,2.0,3.67,5.67,0.33,0.0,0.67,0.33,5.67
Luke Kennard,MEM,36,22.17,3.39,6.94,2.28,4.61,1.0,1.14,0.67,2.28,2.94,3.47,0.67,0.08,1.08,10.06
Walker Kessler,UTA,37,29.76,4.7,6.51,0.05,0.16,1.46,2.68,4.35,7.08,11.43,1.49,0.57,2.32,1.41,10.92
Corey Kispert,WAS,43,26.53,4.02,9.16,1.84,5.33,1.19,1.37,0.6,2.35,2.95,1.53,0.58,0.23,1.02,11.07
Maxi Kleber,DAL,34,18.74,1.09,2.82,0.38,1.44,0.47,0.62,0.74,2.06,2.79,1.26,0.26,0.5,0.68,3.03
