Player,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FPPG
Lindy Waters III,1630322,2024-25,0,1610612744,GSW,27.0,38,9,17.236842105263158,2.0,5.394736842105263,0.371,1.2894736842105263,3.8947368421052633,0.331,0.2105263157894736,0.2894736842105263,0.727,0.4210526315789473,2.1052631578947367,2.526315789473684,1.105263157894737,0.5789473684210527,0.2631578947368421,0.4473684210526316,1.4473684210526316,5.5,12.526315789473685
Trendon Watford,1630570,2024-25,0,1610612751,BKN,24.0,15,0,16.133333333333333,2.8,6.4,0.438,0.6,2.0,0.3,2.0,2.466666666666667,0.811,0.4,2.6,3.0,1.2,0.4666666666666667,0.2666666666666666,1.2666666666666666,2.2666666666666666,8.2,13.333333333333332
Peyton Watson,1631212,2024-25,0,1610612743,DEN,22.0,48,12,24.125,2.9166666666666665,6.1875,0.471,0.6666666666666666,1.9583333333333333,0.34,1.5833333333333333,2.1041666666666665,0.752,0.8125,2.625,3.4375,1.5,0.8541666666666666,1.2291666666666667,0.8958333333333334,1.6666666666666667,8.083333333333334,20.854166666666668
Jaylen Wells,1642377,2024-25,0,1610612763,MEM,21.0,49,44,26.285714285714285,4.081632653061225,9.183673469387756,0.444,1.9183673469387756,5.020408163265306,0.382,1.510204081632653,1.7959183673469388,0.841,1.0816326530612246,2.122448979591837,3.204081632653061,1.7551020408163265,0.5918367346938775,0.1224489795918367,0.9591836734693876,1.836734693877551,11.591836734693878,19.857142857142858
Victor Wembanyama,1641705,2024-25,0,1610612759,SAS,21.0,40,40,33.15,8.975,18.85,0.476,3.25,9.075,0.358,3.375,3.975,0.849,1.725,9.175,10.9,3.65,1.1,3.975,3.4,2.2,24.575,58.025000000000006
Blake Wesley,1631104,2024-25,0,1610612759,SAS,21.0,30,0,9.366666666666667,1.2333333333333334,2.7,0.457,0.1333333333333333,0.7,0.19,0.5,0.7,0.714,0.2,0.5666666666666667,0.7666666666666667,1.9,0.4666666666666667,0.1,0.9,0.4666666666666667,3.1,7.833333333333334
Russell Westbrook,201566,2024-25,0,1610612743,DEN,36.0,48,27,27.666666666666668,4.895833333333333,10.270833333333334,0.477,1.1458333333333333,3.458333333333333,0.331,2.0416666666666665,3.1875,0.641,1.375,3.7291666666666665,5.104166666666667,6.395833333333333,1.5,0.5,3.0416666666666665,2.520833333333333,12.979166666666666,32.3125
Coby White,1629632,2024-25,0,1610612741,CHI,24.0,43,43,32.627906976744185,6.255813953488372,14.372093023255816,0.435,3.0232558139534884,8.255813953488373,0.366,2.883720930232558,3.255813953488372,0.886,0.3488372093023256,3.0232558139534884,3.372093023255814,4.604651162790698,0.9767441860465116,0.1860465116279069,2.488372093023256,2.302325581395349,18.41860465116279,31.46511627906977
Derrick White,1628401,2024-25,0,1610612738,BOS,30.0,47,47,33.744680851063826,5.51063829787234,12.5531914893617,0.439,3.3191489361702127,8.808510638297872,0.377,1.74468085106383,2.0851063829787235,0.837,0.9361702127659576,3.276595744680851,4.212765957446808,4.212765957446808,0.8723404255319149,1.1702127659574468,1.5957446808510638,1.9361702127659572,16.085106382978722,35.148936170212764
Dariq Whitehead,1641727,2024-25,0,1610612751,BKN,20.0,8,0,7.0,1.5,3.125,0.48,1.375,2.625,0.524,0.125,0.375,0.333,0.125,0.5,0.625,0.125,0.375,0.125,0.375,0.25,4.5,7.625
Cam Whitmore,1641715,2024-25,0,1610612745,HOU,20.0,29,0,16.482758620689655,3.586206896551724,8.275862068965518,0.433,1.206896551724138,3.793103448275862,0.318,1.0,1.3793103448275863,0.725,0.7931034482758621,2.3793103448275863,3.1724137931034484,0.8275862068965517,0.6551724137931034,0.2413793103448276,1.103448275862069,1.0689655172413792,9.379310344827584,15.310344827586203
